"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (AED)",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (AED)","Link clicks",Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name"
2025-10-25,2026-07-02,"New Leads Ad",active,2,actions:offsite_conversion.fb_pixel_lead,53.12,"Using campaign budget",0,106.24,1933,1541,1.25438,54.9612,18,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,0,Average,Average,"Above average","test 1"
2025-10-25,2026-07-02,"Audi (1)",active,,,,60,Daily,2.28,82,77,1.064935,27.804878,1,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-02T12:10:52+0400,-,-,-,"Paint Shop"
2025-10-25,2026-07-02,"Audi (4)",active,,,,40,Daily,0.16,6,5,1.2,26.666667,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"General Garage Offering"
2025-10-25,2026-07-02,"Audi (2)",active,,,,60,Daily,0.93,31,30,1.033333,30,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-02T12:10:52+0400,-,-,-,"Paint Shop"
2025-10-25,2026-07-02,"Audi (3)",active,,,,60,Daily,0.08,4,4,1,20,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-02T12:10:52+0400,-,-,-,"Paint Shop"
2025-10-25,2026-07-02,"Audi (5)",active,,,,40,Daily,0.15,5,4,1.25,30,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"General Garage Offering"
2025-10-25,2026-07-02,"Hubabe - Prado Video",not_delivering,10,actions:leadgen.other,68.372,100,Daily,683.72,6716,4353,1.542844,101.804646,53,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-06T16:11:15+0400,-,-,-,"Sean Offerings - 20% off PPF"
2025-10-25,2026-07-02,"Hubabe - Short Version",not_delivering,3,actions:leadgen.other,66.44,100,Daily,199.32,2436,1677,1.452594,81.82266,14,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-06T16:11:15+0400,-,-,-,"Sean Offerings - 20% off PPF"
2025-10-25,2026-07-02,"Wrap - Sean",not_delivering,4754,video_thruplay_watched_actions,0.01290072,30,Daily,61.33,17869,17659,1.011892,3.432201,6,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-06T16:23:29+0400,-,-,-,"Wrap - Engagement"
2025-10-25,2026-07-02,"Prado Edit - Engagement",not_delivering,3059,video_thruplay_watched_actions,0.01955541,30,Daily,59.82,21427,15374,1.393717,2.791805,12,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"PPF PRADO - Engagement"
2025-10-25,2026-07-02,"SLOW X3/7 PPF",not_delivering,,,,100,Daily,19.15,292,239,1.221757,65.582192,2,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-06T16:11:15+0400,-,-,-,"Sean Offerings - 20% off PPF"
2025-10-25,2026-07-02,"Retargeting X7 Ad",not_delivering,1,actions:leadgen.other,153.51,75,Daily,153.51,1817,1470,1.236054,84.485416,8,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-08T17:56:29+0400,-,-,-,"New Leads Ad Set"
2025-10-25,2026-07-02,"SLOW X3/7 PPF",not_delivering,,,,100,Daily,114.2,1712,1499,1.142095,66.705607,12,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-08T17:59:43+0400,-,-,-,"X3/7 Chill"
2025-10-25,2026-07-02,"Ceramic Ad",inactive,,,,60,Daily,66.1,1076,969,1.110423,61.431227,7,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-11T09:14:10+0400,-,-,-,"Ceramic Coating"
2025-10-25,2026-07-02,"General Offerings - GTS1",not_delivering,1,actions:onsite_conversion.messaging_conversation_started_7d,12.73,20,Daily,12.73,259,229,1.131004,49.150579,2,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"General Offerings - Sean"
2025-10-25,2026-07-02,"General Offerings - GTS3",not_delivering,1,actions:onsite_conversion.messaging_conversation_started_7d,34.16,20,Daily,34.16,589,502,1.173307,57.996604,3,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"General Offerings - Sean"
2025-10-25,2026-07-02,"Ceramic - GTS4",not_delivering,50,actions:onsite_conversion.messaging_conversation_started_7d,13.5802,40,Daily,679.01,17458,8865,1.969318,38.893917,81,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Ceramic Coating Sean"
2025-10-25,2026-07-02,"Ceramic - GTS11",not_delivering,7,actions:onsite_conversion.messaging_conversation_started_7d,14.56571429,40,Daily,101.96,1937,1168,1.65839,52.6381,11,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Ceramic Coating Sean"
2025-10-25,2026-07-02,"Ceramic - GTS5",not_delivering,2,actions:onsite_conversion.messaging_conversation_started_7d,20.67,40,Daily,41.34,633,492,1.286585,65.308057,2,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Ceramic Coating Sean"
2025-10-25,2026-07-02,Def01,not_delivering,8,actions:onsite_conversion.messaging_conversation_started_7d,24.14625,60,Daily,193.17,1636,979,1.671093,118.074572,8,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-12T00:15:25+0400,-,-,-,"PPF -- Sean"
2025-10-25,2026-07-02,Def02,inactive,,,,60,Daily,20.02,240,201,1.19403,83.416667,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-12T00:15:25+0400,-,-,-,"PPF -- Sean"
2025-10-25,2026-07-02,Def03,not_delivering,7,actions:onsite_conversion.messaging_conversation_started_7d,22.72714286,60,Daily,159.09,2145,1398,1.534335,74.167832,13,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-12T00:15:25+0400,-,-,-,"PPF -- Sean"
